SerCon 'Callisto CF-IRMS' system
10:07:04	08-12-2016

Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn
Un-Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	 ug	DeltaAir	 	 	 ug	DeltaPDB	DeltaPDB	 
 43 	SEAL2	 1.14 	 2.79408163245121E-07 	 175.003858279959 	 16.9876196703732 	 0 	 4.80370996536195E-07 	 476.06951521513 	-13.4154127082769 	-48.2065743233085 	
 44 	TBR255	 0.74 	 4.99343123135099E-08 	 31.1057431062528 	 7.17166948928122 	 0 	 4.64872415006923E-07 	 458.114809064141 	-23.0595885112054 	-48.9895969550266 	
 45 	TM11	 0.7 	 4.81878612013098E-08 	 29.8540949982284 	-0.872476567862286 	 0 	 4.29130906032249E-07 	 420.528576732396 	-23.0078710945497 	-49.9695029525054 	
 46 	TBR236	 0.71 	 1.07970671528457E-07 	 66.5271534858927 	 2.32068032293 	 0 	 4.4032906976188E-07 	 429.103485406332 	-22.3207083185763 	-50.0296127999371 	
 47 	SALANINE	 1.15 	 2.84553123036657E-07 	 174.371155695273 	-1.54347818985881 	 0 	 4.61417855035506E-07 	 447.166145940995 	-27.0516257219732 	-49.0144355995496 	
 48 	ALANINE	 1.04 	 2.67898254274757E-07 	 163.279997650534 	-1.56001661948008 	 0 	 4.35948256494179E-07 	 420.160009523048 	-27.1102450909173 	-47.4063835793421 	
 49 	TM04	 0.69 	 3.61542827516381E-08 	 21.9313763311582 	-1.19834153518803 	 0 	 4.34933660309333E-07 	 417.059851900012 	-23.0801373735569 	-47.8650546988684 	
 50 	SEAL2	 1.15 	 2.8947804636692E-07 	 174.747855583137 	 17.0382765513061 	 0 	 4.96148545803266E-07 	 473.36533575948 	-13.3172924157641 	-47.8151830519354 	
 51 	TBR238	 0.68 	 5.37433444448843E-08 	 32.2902816353549 	 0.539703068859593 	 0 	 4.06127747321072E-07 	 385.530982686877 	-22.2474868532533 	-48.2641194718055 	
 52 	ESS107	 1.02 	 2.54532977805866E-07 	 152.197103516307 	 5.4861270521232 	 0 	 4.50873536395058E-07 	 425.871221523114 	-21.9975898142773 	-47.1513018381023 	
 53 	TBR249	 0.62 	 2.85541990538429E-08 	 16.9946304356705 	 3.51214204139698 	 0 	 4.02454479297987E-07 	 378.248400626209 	-24.0423871209013 	-47.8092347836818 	
 54 	TBR248	 0.62 	 2.97063745685611E-08 	 17.5976335144321 	 1.79357130575404 	 0 	 4.05785010482163E-07 	 379.494123860657 	-23.4470932688506 	-48.3911215746499 	
 55 	SALANINE	 1.12 	 4.82056865147573E-07 	 284.193202426755 	-2.60780100730364 	 0 	 9.61393419540713E-07 	 894.680973824835 	-25.9649095974657 	-50.5963222095706 	
 56 	ALANINE	 1.05 	 2.80932653085042E-07 	 164.850003784522 	-1.56001661948008 	 0 	 4.5807312432089E-07 	 424.200028644043 	-27.1102450909173 	-47.4063835793421 	
 57 	SEAL2	 1.1 	 2.67793127228799E-07 	 158.414043845872 	 17.0978733699345 	 0 	 4.61534735540781E-07 	 430.877792314528 	-13.4176462340256 	-45.9962525237263 	
 58 	TBR244	 0.65 	 3.49209217653801E-08 	 20.8277558199168 	 0.567573477730066 	 0 	 4.35993696035197E-07 	 410.35705109454 	-23.1182566515985 	-47.4579201182171 	
 59 	TBR250	 0.68 	 3.5907733928614E-08 	 21.5928651403628 	 0.856014561787615 	 0 	 4.5149478644646E-07 	 428.449561936457 	-23.3422229392176 	-48.709050221235 	
 60 	ESS110	 1.08 	 2.20603465911351E-07 	 133.751058006853 	 5.26607704276547 	 0 	 3.98322077876934E-07 	 381.133196959388 	-21.908390934793 	-47.553938629896 	
 61 	TM02	 0.63 	 3.39120831138739E-08 	 20.7339290498447 	-0.409948695689985 	 0 	 4.08571646515199E-07 	 394.216199206426 	-24.0873425541086 	-47.8907242350166 	
